LCR,LCR DESC,INC DATETIME,BEAT,INC NO,LOCATION
155,SHOTS FIRED,01/01/2013 12:00:00 AM,323,P13000006,"(35.914369719758085, -78.5888337189722)"
141,DAMAGE TO PROPERTY/PRIVATE PROPERTY,01/01/2013 12:32:00 AM,522,P13000009,"(35.77561554753416, -78.63845698077156)"
45,ASSAULT SIMPLE (NOT AGGRAVATED),01/01/2013 12:35:00 AM,515,P13000012,"(35.78031436726105, -78.64261042413474)"
45,ASSAULT SIMPLE (NOT AGGRAVATED),01/01/2013 12:35:00 AM,522,P13000013,"(35.786921969358794, -78.64645566159193)"
45,ASSAULT SIMPLE (NOT AGGRAVATED),01/01/2013 12:50:00 AM,514,P13000026,"(35.784632307216896, -78.64783952390935)"
226,ALCOHOL/POSSESSION BY UNDERAGED PERSON,01/01/2013 12:38:00 AM,623,P13000027,"(35.78279332684903, -78.72967224470175)"
118,FRAUD/DEFRAUDING INNKEEPER,01/01/2013 12:44:00 AM,515,P13000028,"(35.78359740036857, -78.64633729540904)"
210,DRIVING WHILE IMPAIRED,01/01/2013 01:08:00 AM,514,P13000029,"(35.7872047578018, -78.6466672907084)"
155,SHOTS FIRED,01/01/2013 12:55:00 AM,615,P13000031,"(35.78213839888133, -78.69165815570975)"
290,JUVENILE/RUNAWAYS (UNDER 18),01/01/2013 12:54:00 AM,313,P13000032,"(35.85457771620848, -78.52418087574132)"
242,DISORDERLY/ENGAGING IN AFFRAY,01/01/2013 12:29:00 AM,623,P13000034,"(35.78559788325312, -78.72909111927136)"
790,MISC/ALL OTHER / NO OFFENSE COMMITTED,01/01/2013 12:19:00 AM,311,P13000041,"(35.800804879185996, -78.57705936698282)"
41,ASSAULT WITH FIREARM,01/01/2013 01:27:00 AM,311,P13000045,"(35.812245318655066, -78.57010545561424)"
45,ASSAULT SIMPLE (NOT AGGRAVATED),01/01/2013 01:49:00 AM,516,P13000046,"(35.77564546357431, -78.64076760697606)"
210,DRIVING WHILE IMPAIRED,01/01/2013 02:14:00 AM,524,P13000051,"(35.770016338293274, -78.636193659419)"
21,RAPE BY FORCE,01/01/2013 02:02:00 AM,421,P13000054,"(35.762068517377905, -78.5898829573501)"
45,ASSAULT SIMPLE (NOT AGGRAVATED),01/01/2013 01:55:00 AM,114,P13000055,"(35.87939946663315, -78.69263140964166)"
151,WEAPONS/CARRYING CONCEALED WEAPON,01/01/2013 01:40:00 AM,624,P13000056,"(35.78649241705237, -78.71566627392326)"
71,MV THEFT/AUTOMOBILE,01/01/2013 02:26:00 AM,424,P13000060,"(35.77330529713187, -78.61504680160824)"